"Path","QAID","Objective","Release","Priority","Autotest","Step","Expect","Note"
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975106","Default mode for MLD Snooping; Proxy; Querier are disabled","7.0","High","Yes","FSW_Regression, 951949","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975107","Enable and Disable mld-snooping-querier only if mld-snooping enabled","7.0","High","Yes","FSW_Regression,951952","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975108","Ipv6-querier-addr does not accept address with all 0s","7.0","High","Yes","FSW_Regression,951954","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975109","Ipv6-querier-addr does not accept multicast address FF00:: 8","7.0","High","Yes","FSW_Regression,951956","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975110","Enable and Disable mld-snooping-fast-leave","7.0","High","Yes","FSW_Regression,951958","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975111","mld-static-group ipv6-mcast-addr not accept IPv6 unicast address","7.0","High","Yes","FSW_Regression,951961","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975112","Delete and add mld-static-group","7.0","High","Yes","FSW_Regression,951964","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975113","Deleting trunk interface with vlan configured mld-static-group is not allowed","7.0","High","Yes","FSW_Regression,951969","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975114","Enable and Disable mld-proxy only if mld-snooping enabled","7.0","High","Yes","FSW_Regression, 951951","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975115","Enable and Disable mld-snooping","7.0","Critical","Yes","FSW_Regression, 951950","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975117","Config ipv6-querier-addr only if mld-snooping-querier enabled","7.0","High","Yes","FSW_Regression, 951953","Pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975118","Ipv6-querier-addr does not accept loopback address ::1 128","7.0","High","Yes","FSW_Regression, 951955","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975119","Default mode for MLD Fast Leave is enabled","7.0","High","Yes","FSW_Regression,951957","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975120","Config mld-static-group only if mld-snooping enabled","7.0","High","Yes","FSW_Regression,951959","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975121","Config multiple mld-static-group with different ipv6-mcast-addr","7.0","High","Yes","FSW_Regression,951963","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975122","Deleting vlan with mld-static-group from port or trunk is not allowed","7.0","High","Yes","FSW_Regression,951967","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975123","Enable and Disable flood-unknown-multicast under switch global","7.0","High","Yes","FSW_Regression,951971","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975124","mld-static-group not accept well-known IPv6 mcast addr FF02 or FF0x","7.0","High","Yes","FSW_Regression,951960","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975125","Config mld-static-group with multiple member ports","7.0","High","Yes","FSW_Regression,951962","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975126","Config multiple mld-static-group with same ipv6-mcast-addr is not allowed","7.0","High","Yes","FSW_Regression,951964","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975127","Deleting vlan with mld-static-group configured is not allowed","7.0","High","Yes","FSW_Regression,951966","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975128","Disable mld-snooping when mld-static-group configured is not allowed","7.0","High","Yes","FSW_Regression,951968","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975129","Default mode flood-unknown-multicast under switch global is disabled","7.0","High","Yes","FSW_Regression,951970","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975130","Config switch mld-snooping globals; mld-aging-time","7.0","High","Yes","FSW_Regression,951972","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975131","Config switch mld-snooping globals; mld-leave-response-timeout","7.0","High","Yes","FSW_Regression, 951973","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975132","Config switch mld-snooping globals; mld-query-interval","7.0","High","Yes","FSW_Regression,951974","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975133","Default mlds-flood-reports and mcast-flood-traffic are disabled in switch inte","7.0","High","No","FSW_Regression, 951975","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975134","Enable and Disable mlds-flood-reports under switch interface","7.0","High","Yes","FSW_Regression,951976","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975135","Enable and Disable mcast-flood-traffic under switch interface","7.0","High","Yes","FSW_Regression,951977","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975150","Get switch mld-snooping globals","7.0","High","Yes","FSW_Regression,951977","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975151","Get switch mld-snooping group","7.0","High","Yes","FSW_Regression,951979","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975152","Get switch mld-snooping static-group","7.0","High","Yes","FSW_Regression,951980","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975153","Get switch mld-snooping status","7.0","High","Yes","FSW_Regression,951981","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975154","Verify MLD Snooping settings persistency after switch reboot","7.0","High","Yes","FSW_Regression,951984","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","975156","Execute clear switch mld-snooping","7.0","High","Yes","FSW_Regression,951982","pass",""
"/FSW-OS/HQ-Automation/Multicast/MLDSnooping/","983377","Basic MLD on single vlan","7.0","Critical","Yes","FSW_ThreeDevices_Regression,951958","pass",""
